fecha,smlv_nominal,ipc_bogota,trm_promedio,smlv_real,ipc_var_anual,poder_adq_index,smlv_real_var_anual
2000-01-01,260100,40.0507,2087.0,649426.85,,100.0,
2000-02-01,260100,40.3406,2179.0,644759.87,,99.28,
2000-03-01,260100,40.6305,2196.0,640159.49,,98.57,
2000-04-01,260100,40.9205,2186.0,635622.73,,97.87,
2000-05-01,260100,41.2104,2106.0,631151.36,,97.19,
2000-06-01,260100,41.5003,2106.0,626742.46,,96.51,
2000-07-01,260100,41.7902,2161.0,622394.72,,95.84,
2000-08-01,260100,42.0801,2229.0,618106.9,,95.18,
2000-09-01,260100,42.3701,2213.0,613876.29,,94.53,
2000-10-01,260100,42.66,2168.0,609704.64,,93.88,
2000-11-01,260100,42.9499,2156.0,605589.3,,93.25,
2000-12-01,260100,43.2398,2229.0,601529.15,,92.62,
2001-01-01,286000,43.5151,2241.0,657243.12,0.0865,101.2,0.012
2001-02-01,286000,43.7904,2257.0,653111.18,0.0855,100.57,0.013
2001-03-01,286000,44.0657,2290.0,649030.88,0.0845,99.94,0.0139
2001-04-01,286000,44.341,2331.0,645001.24,0.0836,99.32,0.0148
2001-05-01,286000,44.6163,2348.0,641021.33,0.0826,98.71,0.0156
2001-06-01,286000,44.8916,2331.0,637090.24,0.0817,98.1,0.0165
2001-07-01,286000,45.1669,2304.0,633207.06,0.0808,97.5,0.0174
2001-08-01,286000,45.4422,2287.0,629370.94,0.0799,96.91,0.0182
2001-09-01,286000,45.7175,2306.0,625581.01,0.079,96.33,0.0191
2001-10-01,286000,45.9928,2326.0,621836.46,0.0781,95.75,0.0199
2001-11-01,286000,46.2681,2316.0,618136.47,0.0773,95.18,0.0207
2001-12-01,286000,46.5434,2306.0,614480.25,0.0764,94.62,0.0215
2002-01-01,309000,46.8145,2293.0,660051.91,0.0758,101.64,0.0043
2002-02-01,309000,47.0856,2290.0,656251.59,0.0752,101.05,0.0048
2002-03-01,309000,47.3567,2275.0,652494.79,0.0747,100.47,0.0053
2002-04-01,309000,47.6278,2273.0,648780.75,0.0741,99.9,0.0059
2002-05-01,309000,47.8989,2304.0,645108.76,0.0736,99.34,0.0064
2002-06-01,309000,48.17,2399.0,641478.1,0.073,98.78,0.0069
2002-07-01,309000,48.4412,2520.0,637886.76,0.0725,98.22,0.0074
2002-08-01,309000,48.7123,2624.0,634336.71,0.072,97.68,0.0079
2002-09-01,309000,48.9834,2728.0,630825.95,0.0714,97.14,0.0084
2002-10-01,309000,49.2545,2773.0,627353.85,0.0709,96.6,0.0089
2002-11-01,309000,49.5256,2785.0,623919.75,0.0704,96.07,0.0094
2002-12-01,309000,49.7967,2865.0,620523.05,0.0699,95.55,0.0098
2003-01-01,332000,50.066,2914.0,663124.68,0.0695,102.11,0.0047
2003-02-01,332000,50.3354,2956.0,659575.57,0.069,101.56,0.0051
2003-03-01,332000,50.6047,2960.0,656065.54,0.0686,101.02,0.0055
2003-04-01,332000,50.874,2925.0,652592.68,0.0682,100.49,0.0059
2003-05-01,332000,51.1433,2853.0,649156.39,0.0677,99.96,0.0063
2003-06-01,332000,51.4126,2817.0,645756.1,0.0673,99.43,0.0067
2003-07-01,332000,51.682,2823.0,642390.0,0.0669,98.92,0.0071
2003-08-01,332000,51.9513,2837.0,639060.04,0.0665,98.4,0.0074
2003-09-01,332000,52.2206,2842.0,635764.43,0.0661,97.9,0.0078
2003-10-01,332000,52.4899,2872.0,632502.63,0.0657,97.39,0.0082
2003-11-01,332000,52.7592,2857.0,629274.14,0.0653,96.9,0.0086
2003-12-01,332000,53.0285,2807.0,626078.43,0.0649,96.4,0.009
2004-01-01,358000,53.2711,2748.0,672034.18,0.064,103.48,0.0134
2004-02-01,358000,53.5138,2670.0,668986.32,0.0631,103.01,0.0143
2004-03-01,358000,53.7564,2670.0,665967.22,0.0623,102.55,0.0151
2004-04-01,358000,53.999,2657.0,662975.24,0.0614,102.09,0.0159
2004-05-01,358000,54.2416,2719.0,660010.03,0.0606,101.63,0.0167
2004-06-01,358000,54.4842,2719.0,657071.22,0.0597,101.18,0.0175
2004-07-01,358000,54.7268,2627.0,654158.47,0.0589,100.73,0.0183
2004-08-01,358000,54.9694,2620.0,651271.43,0.0581,100.28,0.0191
2004-09-01,358000,55.212,2552.0,648409.77,0.0573,99.84,0.0199
2004-10-01,358000,55.4546,2628.0,645573.14,0.0565,99.41,0.0207
2004-11-01,358000,55.6972,2538.0,642761.22,0.0557,98.97,0.0214
2004-12-01,358000,55.9398,2412.0,639973.69,0.0549,98.54,0.0222
2005-01-01,381500,56.1659,2367.0,679237.76,0.0543,104.59,0.0107
2005-02-01,381500,56.392,2334.0,676514.4,0.0538,104.17,0.0113
2005-03-01,381500,56.6181,2360.0,673812.79,0.0532,103.75,0.0118
2005-04-01,381500,56.8442,2354.0,671132.67,0.0527,103.34,0.0123
2005-05-01,381500,57.0703,2350.0,668473.79,0.0522,102.93,0.0128
2005-06-01,381500,57.2963,2331.0,665837.06,0.0516,102.53,0.0133
2005-07-01,381500,57.5224,2305.0,663219.89,0.0511,102.12,0.0139
2005-08-01,381500,57.7485,2305.0,660623.22,0.0506,101.72,0.0144
2005-09-01,381500,57.9746,2298.0,658046.8,0.05,101.33,0.0149
2005-10-01,381500,58.2007,2287.0,655490.4,0.0495,100.93,0.0154
2005-11-01,381500,58.4268,2275.0,652953.78,0.049,100.54,0.0159
